"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","132","1","point","37","0.26833146810531616","0.5951","0.8586"
"TS","0","133","1","point","37","0.3829329311847687","0.4019","0.8632"
"TS","0","134","1","point","37","0.35752448439598083","0.4822","0.8341"
"TS","0","135","1","point","37","0.37031784653663635","0.576","0.7942"
"TS","0","136","1","point","37","0.27275341749191284","0.6506","0.8382"
"TS","0","137","1","point","37","0.28744634985923767","0.7271","0.8421"
"TS","0","138","1","point","37","0.22880849242210388","0.6558","0.8715"
"TS","0","139","1","point","37","0.28038015961647034","0.6081","0.8242"
"TS","0","140","1","point","37","0.2847763001918793","0.5247","0.8895"
"TS","0","141","1","point","37","0.5951048731803894","0.2336","0.7953"
"TS","0","142","1","point","37","0.3051256537437439","0.7357","0.8567"
"TS","0","143","1","point","37","0.2726708650588989","0.7058","0.8392"
"TS","0","144","1","point","37","0.23337943851947784","0.6223","0.89"
"TS","0","145","1","point","37","0.2338150292634964","0.6604","0.8541"
"TS","0","146","1","point","37","0.23267212510108948","0.742","0.8479"
"TS","0","147","1","point","37","0.3603453040122986","0.5197","0.8254"
"TS","0","148","1","point","37","0.23926258087158203","0.6109","0.8622"
"TS","0","149","1","point","37","0.22618873417377472","0.6093","0.8623"
"TS","0","150","1","point","37","0.3784935474395752","0.5919","0.7927"
"TS","0","151","1","point","37","0.20539088547229767","0.7678","0.8597"
"TS","0","152","1","point","37","0.5118317008018494","0.3036","0.8458"
"TS","0","153","1","point","37","0.2650986611843109","0.5999","0.8908"
"TS","0","154","1","point","37","0.33031320571899414","0.4659","0.8443"
"TS","0","155","1","point","37","0.312195360660553","0.6475","0.8238"
"TS","0","156","1","point","37","0.2342209368944168","0.7036","0.8466"
"TS","0","157","1","point","37","0.26032358407974243","0.6757","0.8287"
"TS","0","158","1","point","37","0.3282356858253479","0.7017","0.7907"
"TS","0","159","1","point","37","0.39295271039009094","0.4111","0.8311"
"TS","0","160","1","point","50","0.31410345435142517","0.4659","0.8605"
"TS","0","161","1","point","50","0.27554893493652344","0.5922","0.86"
"TS","0","162","1","point","50","0.24173924326896667","0.6577","0.8412"
"TS","0","163","1","point","50","0.20831778645515442","0.7331","0.8506"
"TS","0","164","1","point","50","0.28197184205055237","0.6944","0.8415"
"TS","0","165","1","point","50","0.19530422985553741","0.6695","0.8833"
"TS","0","166","1","point","50","0.22964616119861603","0.7245","0.862"
"TS","0","167","1","point","50","0.2007017582654953","0.707","0.8356"
"TS","0","168","1","point","50","0.32148319482803345","0.4405","0.8792"
"TS","0","169","1","point","50","0.37085336446762085","0.4499","0.8498"
"TS","0","170","1","point","50","0.3550194799900055","0.581","0.8258"
"TS","0","171","1","point","50","0.2768746018409729","0.6835","0.832"
"TS","0","172","1","point","50","0.3958483636379242","0.3746","0.8171"
"TS","0","173","1","point","50","0.2329525649547577","0.7309","0.8697"
"TS","0","174","1","point","50","0.31265753507614136","0.6804","0.8164"
"TS","0","175","1","point","50","0.3419227600097656","0.6598","0.8861"
"TS","0","176","1","point","50","0.31592535972595215","0.6335","0.828"
"TS","0","177","1","point","50","0.29547056555747986","0.57","0.8464"
"TS","0","178","1","point","50","0.2832055985927582","0.5378","0.8438"
"TS","0","179","1","point","50","0.18684525787830353","0.7101","0.8973"
"TS","0","180","1","point","50","0.42103204131126404","0.6665","0.7894"
"TS","0","181","1","point","50","0.23200757801532745","0.6655","0.8691"
"TS","0","182","1","point","50","0.2701290547847748","0.7157","0.8204"
"TS","0","183","1","point","50","0.3625757396221161","0.4808","0.8252"
"TS","0","184","1","point","50","0.4785962998867035","0.4191","0.8005"
"TS","0","185","1","point","50","0.32856544852256775","0.513","0.8363"
"TS","0","186","1","point","50","0.25585222244262695","0.6398","0.8575"
"TS","0","187","1","point","50","0.21526841819286346","0.7161","0.8721"
"TS","0","188","1","point","50","0.2254246026277542","0.6453","0.8709"
"TS","0","189","1","point","50","0.2924906313419342","0.6529","0.8243"
"TS","0","190","1","point","50","0.2737687826156616","0.7153","0.8345"
"TS","0","191","1","point","50","0.21359506249427795","0.7195","0.8656"
"TS","0","192","1","point","50","0.2735406756401062","0.6964","0.8548"
"TS","0","193","1","point","50","0.2542709410190582","0.6944","0.8383"
"TS","0","194","1","point","50","0.3452383577823639","0.6064","0.8248"
"TS","0","195","1","point","50","0.2572003901004791","0.5828","0.844"
"TS","0","196","1","point","50","0.1717771291732788","0.6819","0.895"
"TS","0","197","1","point","50","0.2550482153892517","0.7053","0.863"
"TS","0","198","1","point","50","0.28449732065200806","0.705","0.8527"
"TS","0","199","1","point","50","0.25997939705848694","0.7018","0.8174"
"TS","0","200","1","grid","0.1","0.32085227966308594","0.6454","0.8412"
"TS","0","201","1","grid","0.1","0.28806039690971375","0.5916","0.847"
"TS","0","202","1","grid","0.1","0.220077246427536","0.5183","0.8533"
"TS","0","203","1","grid","0.1","0.20533208549022675","0.6509","0.8737"
"TS","0","204","1","grid","0.1","0.25164297223091125","0.6886","0.8967"
"TS","0","205","1","grid","0.1","0.26814302802085876","0.6772","0.8626"
"TS","0","206","1","grid","0.1","0.3736312985420227","0.5097","0.7821"
"TS","0","207","1","grid","0.1","0.2594805061817169","0.6174","0.8345"
"TS","0","208","1","grid","0.1","0.37295663356781006","0.4814","0.8215"
"TS","0","209","1","grid","0.1","0.2939911484718323","0.6196","0.8126"
"TS","0","210","1","grid","0.1","0.3694298267364502","0.4178","0.8261"
"TS","0","211","1","grid","0.1","0.38583457469940186","0.2689","0.8158"
"TS","0","212","1","grid","0.1","0.22766704857349396","0.62","0.858"
"TS","0","213","1","grid","0.1","0.3693199157714844","0.4107","0.8253"
"TS","0","214","1","grid","0.1","0.19967274367809296","0.7274","0.8528"
"TS","0","215","1","grid","0.1","0.3583025336265564","0.6126","0.7774"
"TS","0","216","1","grid","0.1","0.6342006921768188","0.3409","0.8326"
"TS","0","217","1","grid","0.1","0.30141058564186096","0.3287","0.8637"
"TS","0","218","1","grid","0.1","0.350212961435318","0.4989","0.7732"
"TS","0","219","1","grid","0.1","0.3321418762207031","0.6469","0.8361"
"TS","0","220","1","grid","0.1","0.3096410632133484","0.4175","0.8128"
"TS","0","221","1","grid","0.1","0.29171621799468994","0.4854","0.8797"
"TS","0","222","1","grid","0.1","0.27621787786483765","0.6905","0.8315"
"TS","0","223","1","grid","0.1","0.35979413986206055","0.665","0.8712"
"TS","0","224","1","grid","0.1","0.25050660967826843","0.6519","0.8548"
"TS","0","225","1","grid","0.1","0.29090631008148193","0.1986","0.8461"
"TS","0","226","1","grid","0.1","0.2850511968135834","0.4569","0.8516"
"TS","0","227","1","grid","0.1","0.20642518997192383","0.7202","0.8841"
"TS","0","228","1","grid","0.1","0.2748268246650696","0.6948","0.8142"
"TS","0","229","1","grid","0.1","0.23968204855918884","0.6633","0.8489"
"TS","0","230","1","grid","0.1","0.3028675317764282","0.6015","0.8103"
"TS","0","231","1","grid","0.1","0.35360199213027954","0.4558","0.8667"
"TS","0","232","1","grid","0.1","0.279326856136322","0.6937","0.8725"
"TS","0","233","1","grid","0.1","0.30292102694511414","0.5373","0.8529"
"TS","0","234","1","grid","0.1","0.31353944540023804","0.4966","0.8333"
"TS","0","235","1","grid","0.1","0.22417645156383514","0.7527","0.8727"
"TS","0","236","1","grid","0.1","0.2688564658164978","0.6825","0.8618"
"TS","0","237","1","grid","0.1","0.29918795824050903","0.6167","0.8558"
"TS","0","238","1","grid","0.1","0.20963597297668457","0.3978","0.8886"
"TS","0","239","1","grid","0.1","0.27445292472839355","0.6587","0.8877"
"TS","0","240","1","grid","0.25","0.33899158239364624","0.5621","0.8357"
"TS","0","241","1","grid","0.25","0.2654450535774231","0.6632","0.8322"
"TS","0","242","1","grid","0.25","0.185078427195549","0.7637","0.8707"
"TS","0","243","1","grid","0.25","0.2730172276496887","0.4376","0.8527"
"TS","0","244","1","grid","0.25","0.28698235750198364","0.7099","0.8171"
"TS","0","245","1","grid","0.25","0.2347552329301834","0.6953","0.8829"
"TS","0","246","1","grid","0.25","0.22662284970283508","0.6903","0.8684"
"TS","0","247","1","grid","0.25","0.34964561462402344","0.3563","0.845"
"TS","0","248","1","grid","0.25","0.4059728682041168","0.4071","0.8504"
"TS","0","249","1","grid","0.25","0.2221444547176361","0.4046","0.8732"
"TS","0","250","1","grid","0.25","0.269970566034317","0.6032","0.8301"
"TS","0","251","1","grid","0.25","0.35702285170555115","0.596","0.8297"
"TS","0","252","1","grid","0.25","0.24463792145252228","0.6946","0.859"
"TS","0","253","1","grid","0.25","0.30873703956604004","0.513","0.8439"
"TS","0","254","1","grid","0.25","0.37921538949012756","0.4723","0.8182"
"TS","0","255","1","grid","0.25","0.25916561484336853","0.5797","0.8592"
"TS","0","256","1","grid","0.25","0.35322144627571106","0.6482","0.8307"
"TS","0","257","1","grid","0.25","0.2526825964450836","0.7531","0.874"
"TS","0","258","1","grid","0.25","0.2057243287563324","0.6925","0.8649"
"TS","0","259","1","grid","0.25","0.3317476809024811","0.6485","0.8039"
"TS","0","260","1","grid","0.25","0.18604955077171326","0.7358","0.8608"
"TS","0","261","1","grid","0.25","0.21125301718711853","0.6549","0.8279"
"TS","0","262","1","grid","0.25","0.33827245235443115","0.5092","0.8131"
"TS","0","263","1","grid","0.25","0.5137104988098145","0.365","0.8119"
"TS","0","264","1","grid","0.25","0.268550843000412","0.6221","0.8812"
"TS","0","265","1","grid","0.25","0.3147262930870056","0.5029","0.8305"
