"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TS","0","1196","5","point","50","0.27135664224624634","0.6719","0.88"
"TS","0","1197","5","point","50","0.344330370426178","0.6703","0.7957"
"TS","0","1198","5","point","50","0.2637348473072052","0.6392","0.8654"
"TS","0","1199","5","point","50","0.26054662466049194","0.6703","0.8504"
"TS","0","1200","5","grid","0.1","0.21490590274333954","0.6915","0.8702"
"TS","0","1201","5","grid","0.1","0.2770881652832031","0.4948","0.8641"
"TS","0","1202","5","grid","0.1","0.3069536089897156","0.7365","0.7992"
"TS","0","1203","5","grid","0.1","0.3022540211677551","0.6728","0.8075"
"TS","0","1204","5","grid","0.1","0.23362907767295837","0.6288","0.8611"
"TS","0","1205","5","grid","0.1","0.3974130153656006","0.5742","0.8017"
"TS","0","1206","5","grid","0.1","0.28958746790885925","0.7216","0.7976"
"TS","0","1207","5","grid","0.1","0.23218846321105957","0.5996","0.8915"
"TS","0","1208","5","grid","0.1","0.2574537992477417","0.6698","0.8213"
"TS","0","1209","5","grid","0.1","0.2730634808540344","0.5585","0.8324"
"TS","0","1210","5","grid","0.1","0.29001203179359436","0.5856","0.8232"
"TS","0","1211","5","grid","0.1","0.32022708654403687","0.6909","0.8324"
"TS","0","1212","5","grid","0.1","0.330876886844635","0.5797","0.8214"
"TS","0","1213","5","grid","0.1","0.3262048065662384","0.4621","0.8525"
"TS","0","1214","5","grid","0.1","0.3651413917541504","0.6533","0.7884"
"TS","0","1215","5","grid","0.1","0.2482776939868927","0.5691","0.8703"
"TS","0","1216","5","grid","0.1","0.3864589333534241","0.4306","0.8354"
"TS","0","1217","5","grid","0.1","0.306898832321167","0.6661","0.8396"
"TS","0","1218","5","grid","0.1","0.22653214633464813","0.7621","0.8368"
"TS","0","1219","5","grid","0.1","0.2780008018016815","0.675","0.8449"
"TS","0","1220","5","grid","0.1","0.24725846946239471","0.6699","0.8658"
"TS","0","1221","5","grid","0.1","0.29011309146881104","0.5672","0.834"
"TS","0","1222","5","grid","0.1","0.3893534541130066","0.7027","0.8307"
"TS","0","1223","5","grid","0.1","0.21789339184761047","0.6857","0.8449"
"TS","0","1224","5","grid","0.1","0.3328595757484436","0.7379","0.8109"
"TS","0","1225","5","grid","0.1","0.31942087411880493","0.6254","0.8542"
"TS","0","1226","5","grid","0.1","0.2757412791252136","0.7008","0.8431"
"TS","0","1227","5","grid","0.1","0.32867422699928284","0.5267","0.8363"
"TS","0","1228","5","grid","0.1","0.2562240958213806","0.7127","0.8398"
"TS","0","1229","5","grid","0.1","0.2542884051799774","0.6984","0.8514"
"TS","0","1230","5","grid","0.1","0.24309870600700378","0.6958","0.8485"
"TS","0","1231","5","grid","0.1","0.29381078481674194","0.6195","0.8404"
"TS","0","1232","5","grid","0.1","0.20542171597480774","0.6979","0.869"
"TS","0","1233","5","grid","0.1","0.3266783356666565","0.5745","0.8302"
"TS","0","1234","5","grid","0.1","0.3007585406303406","0.6524","0.8527"
"TS","0","1235","5","grid","0.1","0.2294541597366333","0.6942","0.8755"
"TS","0","1236","5","grid","0.1","0.27133941650390625","0.6736","0.8552"
"TS","0","1237","5","grid","0.1","0.1921529918909073","0.7174","0.8906"
"TS","0","1238","5","grid","0.1","0.38752689957618713","0.3946","0.816"
"TS","0","1239","5","grid","0.1","0.3300986588001251","0.4531","0.831"
"TS","0","1240","5","grid","0.25","0.28940123319625854","0.6713","0.8552"
"TS","0","1241","5","grid","0.25","0.2908374071121216","0.6896","0.8507"
"TS","0","1242","5","grid","0.25","0.2802913188934326","0.6751","0.8571"
"TS","0","1243","5","grid","0.25","0.2996779680252075","0.7345","0.8125"
"TS","0","1244","5","grid","0.25","0.25694459676742554","0.7097","0.8403"
"TS","0","1245","5","grid","0.25","0.3723662495613098","0.4447","0.8007"
"TS","0","1246","5","grid","0.25","0.29877886176109314","0.698","0.8312"
"TS","0","1247","5","grid","0.25","0.2668195366859436","0.6926","0.8401"
"TS","0","1248","5","grid","0.25","0.23214438557624817","0.7054","0.8311"
"TS","0","1249","5","grid","0.25","0.2407962530851364","0.6587","0.872"
"TS","0","1250","5","grid","0.25","0.3553384840488434","0.6552","0.7876"
"TS","0","1251","5","grid","0.25","0.24528105556964874","0.6998","0.8532"
"TS","0","1252","5","grid","0.25","0.2657410502433777","0.7068","0.836"
"TS","0","1253","5","grid","0.25","0.24572670459747314","0.7162","0.8449"
