"type","epoch","batch","shot","sparsity_mode","sparsity_value","loss","iou_cup","iou_disc"
"TR","12","13","17","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","29 0.221 0.96 0.314 0.312 44 0.814 0.391 0.304 0.517 41 0.507 0.527 0.333 0.196 18 0.425","0.13873052597045898","null","null"
"TR","12","14","9","grid contour skeleton region point grid contour skeleton region","0.299 0.474 0.73 0.378 19 0.481 0.369 0.164 0.784","0.17328567802906036","null","null"
"TR","12","15","17","point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","15 0.772 0.789 0.145 0.857 21 0.662 0.116 0.212 0.581 29 0.653 0.362 0.451 0.796 37 0.247","0.14967593550682068","null","null"
"TR","12","16","11","grid contour skeleton region point grid contour skeleton region point grid","0.182 0.128 0.905 0.641 5 0.244 0.215 0.523 0.427 18 0.613","0.1617705076932907","null","null"
"TR","12","17","2","skeleton region","0.199 0.227","0.17418798804283142","null","null"
"TR","12","18","8","point grid contour skeleton region point grid contour","16 0.924 0.519 0.248 0.803 32 0.817 0.569","0.15111052989959717","null","null"
"TR","12","19","11","grid contour skeleton region point grid contour skeleton region point grid","0.408 0.416 0.811 0.535 9 0.783 0.436 0.606 0.833 43 0.684","0.14146694540977478","null","null"
"TR","12","20","18","region point grid contour skeleton region point grid contour skeleton region point grid contour skeleton region point grid","0.173 18 0.175 0.479 0.921 0.592 39 0.434 0.275 0.421 0.464 14 0.623 0.233 0.981 0.964 42 0.74","0.14372150599956512","null","null"
"TR","12","21","15","skeleton region point grid contour skeleton region point grid contour skeleton region point grid contour","0.682 0.285 44 0.512 0.574 0.185 0.152 16 0.716 0.872 0.886 0.71 43 0.985 0.145","0.14265578985214233","null","null"
"TR","12","22","2","skeleton region","0.655 0.922","0.3925577402114868","null","null"
"TR","12","23","13","region point grid contour skeleton region point grid contour skeleton region point grid","0.286 11 0.242 0.759 0.61 0.366 44 0.467 0.6 0.557 0.657 18 0.62","0.13828827440738678","null","null"
